scenario,method,seed,fatal_per_1k_hrs,collision_per_1k_hrs,survival_ratio,avg_tta_hours,evac_activation_rate,mean_p_prep
scenario_1_calm_passage,baseline_a,0,28.333333333333332,45.0,0.9216589861751152,0.0,0.0,0.0
scenario_1_calm_passage,baseline_b,0,28.333333333333332,0.0,0.19047619047619047,0.0,1.0,0.6791363044576024
scenario_1_calm_passage,proposed,0,28.333333333333332,0.0,0.19047619047619047,0.0,1.0,0.7085864079953321
scenario_2_storm_corridor,baseline_a,0,28.0,45.333333333333336,0.922509225092251,0.0,0.0,0.0
scenario_2_storm_corridor,baseline_b,0,30.666666666666664,0.0,0.20689655172413793,0.0,1.0,0.5383489306778952
scenario_2_storm_corridor,proposed,0,30.666666666666664,0.0,0.11538461538461539,0.0,1.0,0.5433279608347307
scenario_3_blind_shore,baseline_a,0,28.0,45.333333333333336,0.922509225092251,0.0,0.0,0.0
scenario_3_blind_shore,baseline_b,0,30.666666666666664,0.0,0.20689655172413793,0.0,1.0,0.5383489306778952
scenario_3_blind_shore,proposed,0,30.666666666666664,0.0,0.11538461538461539,0.0,1.0,0.5433279608347307
scenario_4_deep_water_rescue,baseline_a,0,28.88888888888889,44.44444444444444,0.9202453987730062,0.0,0.0,0.0
scenario_4_deep_water_rescue,baseline_b,0,28.88888888888889,0.0,0.23529411764705882,0.0,1.0,0.5746622853686
scenario_4_deep_water_rescue,proposed,0,28.88888888888889,0.0,0.23529411764705882,0.0,1.0,0.6577047604535929
